"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"December 3, 2015",Texas,"Webb (county)","Farm to Market 2050 Rd",1,0,N/A
"November 21, 2015",Texas,"Humble (Atascocita)","18000 block of Yaupon Tr",1,0,N/A
"November 19, 2015",Texas,"Lubbock (county)",N/A,0,1,N/A
"November 12, 2015",Texas,Midland,"Neely Avenue",0,1,N/A
"November 11, 2015",Texas,Killeen,"619 BIshop Drive",0,1,N/A
"October 30, 2015",Texas,"Port Arthur","3280 Central Mall Blvd.",0,1,N/A
"October 24, 2015",Texas,Mission,"4600 block of Sorita Street",0,1,N/A
"October 23, 2015",Texas,"San Antonio","Canterbury Drive",0,1,N/A
"September 28, 2015",Texas,"Corpus Christi","3300 block of South Alameda Street",0,1,N/A
"September 27, 2015",Texas,Pollok,N/A,0,1,N/A
"September 23, 2015",Texas,"San Antonio","1700 block of South Hamilton Street",1,0,N/A
"September 13, 2015",Texas,Rockwall,"2700 block of Faircrest Drive",0,1,N/A
"August 21, 2015",Texas,"New Braunfels","Shadow Circle",0,1,N/A
"August 20, 2015",Texas,"Fort Worth (Benbrook)","5600 block of Shallow Run",1,0,N/A
"August 18, 2015",Texas,"San Angelo","1802 Beacon Street",0,1,N/A
"August 3, 2015",Texas,Longview,"2500 block of North Eastman Road",1,0,N/A
"July 30, 2015",Texas,Houston,"8442 Tavenor Lane",1,0,N/A
"July 24, 2015",Texas,Galveston,"2200 block of 37th Street",0,1,N/A
"July 23, 2015",Texas,Weslaco,"6th Street and Louisiana",0,1,N/A
"July 20, 2015",Texas,Fresno,"1000 block of Cove Crest Trail",1,0,N/A
"July 16, 2015",Texas,"San Antonio","5400 block of War Cloud Drive",1,0,N/A
"July 5, 2015",Texas,Spring,"19000 block of Puget Lane",1,0,N/A
"July 2, 2015",Texas,Dallas,"Coit Road",0,1,N/A
"June 13, 2015",Texas,"Wise (county)","County Road 4010",1,0,N/A
"June 13, 2015",Texas,Dallas,"13600 block of North Central Expressway",1,0,N/A
"June 5, 2015",Texas,Dallas,"11500 Ferguson Road",0,1,N/A
"June 4, 2015",Texas,Houston,"5615 Leeland",1,0,N/A
"June 1, 2015",Texas,Houston,"6215 Heatherbloom",1,0,N/A
"May 30, 2015",Texas,Abilene,"500 block of Washington Street",1,0,N/A
"April 18, 2015",Texas,Killeen,"3600 block of Del Mar Court",1,0,N/A
"April 13, 2015",Texas,Texarkana,"1100 block of Olive St",0,1,N/A
"April 10, 2015",Texas,Houston,"11290 Fondren",1,0,N/A
"March 19, 2015",Texas,Houston,"14425 Alief Clodine Rd",1,0,N/A
"March 19, 2015",Texas,Houston,"6301 Sierra Blanca",1,0,N/A
"March 5, 2015",Texas,"Fort Worth","2300 block of Northeast 37th St.",0,1,N/A
"March 2, 2015",Texas,Houston,"16800 block of Faring Road",0,1,N/A
"March 1, 2015",Texas,Houston,"1900 block of Imperial Stone Dr.",1,0,N/A
"February 27, 2015",Texas,Houston,"7400 block of Betanna",1,0,N/A
"February 26, 2015",Texas,Garland,"3900 block of Plymouth Drive",1,0,N/A
"February 7, 2015",Texas,Dallas,"5900 block of Highland Village Dr.",1,0,N/A
"February 7, 2015",Texas,"San Antonio","5800 block of Midcrown Drive",0,1,N/A
"January 21, 2015",Texas,"Medina County","County Road 381",0,1,N/A
"January 17, 2015",Texas,Colleyville,"Douglas Avenue",0,1,N/A
"January 7, 2015",Texas,"Medina County","County Road 3823",0,1,N/A
"December 31, 2014",Texas,Navasota,N/A,0,1,N/A
"December 30, 2014",Texas,Dayton,"FM 1409 and County Road 460",0,1,N/A
"December 22, 2014",Texas,"Kaufman County","Johnson Ranch Road and County Road 4016",0,1,N/A
"December 5, 2014",Texas,Killeen,"800 Kern Rd",0,1,N/A
"December 4, 2014",Texas,Arlington,"1200 block of Golden View Court",1,0,N/A
"November 30, 2014",Texas,Houston,"4702 West Magnum Rd.",0,1,N/A
"November 29, 2014",Texas,Houston,"4700 block of West Mangum Road",0,1,N/A
"November 29, 2014",Texas,Rice,N/A,0,1,N/A
"November 28, 2014",Texas,Childress,N/A,1,0,N/A
"November 25, 2014",Texas,Katy,"4302 Falcon Meadow",1,0,N/A
"November 25, 2014",Texas,"Hale County",N/A,0,1,N/A
"November 24, 2014",Texas,Atlanta,"400 block of East Thomas Street",1,0,N/A
"November 22, 2014",Texas,Woodville,"Texas County Road 4070",1,0,N/A
"October 19, 2014",Texas,"Corpus Christi","3800 block of Reynosa Street",1,0,N/A
"September 26, 2014",Texas,Houston,"Force and Crown",1,0,N/A
"September 24, 2014",Texas,"San Antonio","325 Pruitt Ave.",0,0,N/A
"September 5, 2014",Texas,Humble,"200 block of Moonshine Hill",0,1,N/A
"August 24, 2014",Texas,"San Antonio","4200 block of Southwest Loop 410",1,0,N/A
"August 21, 2014",Texas,"Pipe Creek","Mountain View Lane",0,1,N/A
"August 14, 2014",Texas,"San Antonio","4600 East Houston St.",1,0,N/A
"August 13, 2014",Texas,"San Antonio","400 block of S. Pine St.",0,1,N/A
"August 10, 2014",Texas,Conroe,"1100 S Seventh",0,1,N/A
"August 10, 2014",Texas,"Texas City",N/A,0,1,N/A
"August 7, 2014",Texas,"Texas City",N/A,0,1,N/A
"August 6, 2014",Texas,Houston,"10100 Beechnut St",0,2,N/A
"August 5, 2014",Texas,"Fort Worth","600 block of Destin Dr",0,1,N/A
"August 1, 2014",Texas,"Ector County",N/A,0,1,N/A
"July 31, 2014",Texas,Bryan,"1600 block of Saunders",1,0,N/A
"July 31, 2014",Texas,Bryan,N/A,1,0,N/A
"July 26, 2014",Texas,Belton,N/A,0,1,N/A
"July 23, 2014",Texas,"San Antonio","Pine and E. Crockett St.",0,1,N/A
"July 12, 2014",Texas,Mineola,"100 Debby Ln",0,1,N/A
"July 9, 2014",Texas,"New Waverly","FM 1375 E",0,1,N/A
"July 5, 2014",Texas,Houston,"11400 block of Panay",1,0,N/A
"July 3, 2014",Texas,Dallas,N/A,1,0,N/A
"July 1, 2014",Texas,Briar,"Co Rd 4764",0,1,N/A
"June 30, 2014",Texas,Houston,"6301 Ranchester",1,0,N/A
"June 27, 2014",Texas,Athens,"14678 FM 59",0,1,N/A
"June 22, 2014",Texas,Austin,"739 West William Cannon Dr",1,0,N/A
"June 13, 2014",Texas,Odessa,"16000 block of US 385",0,1,N/A
"June 12, 2014",Texas,Houston,"Evanston St",0,1,N/A
"May 24, 2014",Texas,Boerne,"100 block of Becker St",1,0,N/A
"April 24, 2014",Texas,Houston,"Isom Street",0,1,N/A
"April 13, 2014",Texas,Houston," 9820 North Freeway",0,0,N/A
"March 13, 2014",Texas,Emory,"County Road 2130",1,0,N/A
"March 10, 2014",Texas,Corsicana,"County Rd 3144",1,0,N/A
"March 1, 2014",Texas,Houston,"12800 block of Gotham Dr",1,0,N/A
"March 1, 2014",Texas,Dallas,N/A,0,1,N/A
"February 27, 2014",Texas,"San Antonio","200 block of Madero",1,0,N/A
"February 14, 2014",Texas,"Aransas Pass",N/A,0,1,N/A
"January 26, 2014",Texas,Kilgore,"1100 block of TX 31",1,0,N/A
"January 25, 2014",Texas,Kilgore,"1100 block of TX-31",1,0,N/A
"January 18, 2014",Texas,"Lampasas County","100 block of S. Broad",0,1,N/A
"January 2, 2014",Texas,Taylor,"610 Howard Street",0,1,N/A
