id,incident_date,address,city,county,state,number_killed,number_injured,operations,city_or_county,number,street,city_2,zip,county_2,households_total,households_moe,median_income_total,median_income_moe,accuracy_score,accuracy_type,state_2,latitude,longitude,state_fips,county_fips,place_fips,census_tract_code,census_block_code,census_block_group,full_fips
70,2017-10-03,Whitehurst Dr and Skillman St,Dallas,NA,Texas,1,0,N/A,Dallas,NA,Skillman St,Dallas,75243,Dallas County,NA,NA,NA,NA,1,intersection,TX,32.898621,-96.719107,48,48113,4819000,007811,3003,3,481130078113003
71,2017-09-30,CR 3560,Cleveland (Plum Grove),NA,Texas,1,0,N/A,Cleveland (Plum Grove),NA,S Crk,Houston,77084,Harris County,1593,232,60536,30174,0.9,street_center,TX,29.787011,-95.676332,48,48201,4835000,541700,3005,3,482015417003005
72,2017-09-28,19000 block of Highland,Tornillo,NA,Texas,1,0,N/A,Tornillo,NA,NA,Tornillo,79853,El Paso County,NA,NA,NA,NA,0.33,place,TX,31.440685,-106.076524,48,48141,4873376,010504,1016,1,481410105041016
73,2017-09-26,3700 block of Burning Tree Ln,Garland,NA,Texas,1,0,N/A,Garland,NA,NA,Garland,75040,Dallas County,NA,NA,NA,NA,0.33,place,TX,32.931523,-96.615821,48,48113,4829000,018123,3028,3,481130181233028
74,2017-09-19,5000 block of CR 48,Manvel,NA,Texas,1,0,N/A,Manvel,NA,NA,Manvel,77578,Brazoria County,NA,NA,NA,NA,0.33,place,TX,29.478468,-95.374419,48,48039,4846500,660702,1018,1,480396607021018
75,2017-09-16,Highway 770 North,Saratoga,NA,Texas,0,1,N/A,Saratoga,NA,NA,Saratoga,77585,Hardin County,NA,NA,NA,NA,0.33,place,TX,30.309518,-94.477059,48,48199,4865816,030100,2020,2,481990301002020
76,2017-09-05,500 block of Park Grove Dr,San Antonio,NA,Texas,0,1,N/A,San Antonio,NA,NA,San Antonio,78201,Bexar County,NA,NA,NA,NA,0.33,place,TX,29.468413,-98.528889,48,48029,4865000,180201,4046,4,480291802014046
77,2017-09-02,3500 block of Parker Rd E,Haltom City,NA,Texas,1,0,N/A,Haltom City,NA,NA,Haltom City,76117,Tarrant County,NA,NA,NA,NA,0.33,place,TX,32.801874,-97.263393,48,48439,4831928,110301,2002,2,484391103012002
78,2017-08-28,9500 block of Timber Trail,Scurry,NA,Texas,1,0,N/A,Scurry,NA,NA,Scurry,75158,Kaufman County,NA,NA,NA,NA,0.33,place,TX,32.463618,-96.384263,48,48257,4866368,051202,1086,1,482570512021086
79,2017-08-10,10806 Cobblecreek Way,Missouri City,NA,Texas,0,1,N/A,Missouri City,10806,Cobblecreek Way,Missouri City,77459,Fort Bend County,4622,293,118807,15278,1,rooftop,TX,29.50339,-95.502091,48,48157,4848804,674502,1090,1,481576745021090
80,2017-08-07,1509 Trigg Ln,Wichita Falls,NA,Texas,1,0,N/A,Wichita Falls,1509,Trigg Ln,Wichita Falls,76306,Wichita County,264,73,43611,36823,1,range_interpolation,TX,33.966502,-98.515026,48,48485,4879000,013200,3009,3,484850132003009
81,2017-08-06,400 block of E San Antonio St,New Braunfels,NA,Texas,0,2,N/A,New Braunfels,NA,NA,New Braunfels,78130,Comal County,NA,NA,NA,NA,0.33,place,TX,29.696878,-98.070726,48,48091,4850820,210507,2008,2,481872105072008
82,2017-08-04,6200 block of Big Valley Dr,San Antonio,NA,Texas,1,0,N/A,San Antonio,NA,NA,San Antonio,78201,Bexar County,NA,NA,NA,NA,0.33,place,TX,29.468413,-98.528889,48,48029,4865000,180201,4046,4,480291802014046
83,2017-07-31,22900 block of Cielo Vista Dr,San Antonio,NA,Texas,0,1,N/A,San Antonio,NA,NA,San Antonio,78201,Bexar County,NA,NA,NA,NA,0.33,place,TX,29.468413,-98.528889,48,48029,4865000,180201,4046,4,480291802014046
84,2017-07-30,4700 block of 6th St,Bacliff,NA,Texas,1,0,N/A,Bacliff,NA,NA,Bacliff,77518,Galveston County,NA,NA,NA,NA,0.33,place,TX,29.50782,-94.98783,48,48167,4805180,721700,2013,2,481677217002013
85,2017-07-22,3100 block of Stag Road,Dallas,NA,Texas,0,1,N/A,Dallas,NA,Bilco St,Dallas,75232,Dallas County,494,104,35500,29452,0.5,street_center,TX,32.679814,-96.850223,48,48113,4819000,011001,4004,4,481130110014004
